Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,201,500,2015,Spring,11,33,6,0,0,50,NARAGHI M
AERO,210,500,2015,Spring,22,42,17,0,0,81,POLLOCK T
AERO,212,500,2015,Spring,15,33,12,2,0,62,REDINIOTIS O
AERO,214,500,2015,Spring,5,23,13,0,0,41,LE G
AERO,214,501,2015,Spring,10,18,5,0,0,33,BOYD J
AERO,220,500,2015,Spring,20,15,5,4,0,44,CHAKRAVORTY S
AERO,220,501,2015,Spring,11,17,5,0,0,33,MISHRA A
AERO,301,500,2015,Spring,6,17,5,1,0,29,DONZIS D
AERO,303,500,2015,Spring,15,28,13,3,0,59,WHITE E
AERO,304,500,2015,Spring,20,14,24,3,0,61,KINRA V
AERO,306,500,2015,Spring,32,16,3,0,0,51,STROUBOULIS T
AERO,310,500,2015,Spring,16,24,6,0,0,46,MOBLE B
AERO,321,500,2015,Spring,9,20,11,9,0,49,VALASEK J
AERO,351,500,2015,Spring,2,15,36,8,1,62,CIZMAS P
AERO,401,500,2015,Spring,16,0,0,0,0,16,LUTZ W
AERO,401,503,2015,Spring,13,1,0,0,0,14,KANIPE D
AERO,402,501,2015,Spring,34,0,0,0,0,34,STRGANAC T
AERO,402,502,2015,Spring,15,0,0,0,0,15,POLLOCK T
AERO,419,500,2015,Spring,9,9,0,0,0,18,KARPETIS A
AERO,422,500,2015,Spring,24,18,4,0,0,46,BHATTACHARYA R
AERO,423,500,2015,Spring,9,7,6,2,0,24,MORTARI D
AERO,428,500,2015,Spring,10,2,0,0,0,12,HYLAND D
AERO,452,500,2015,Spring,10,20,19,3,0,52,GIRIMAJI S
AERO,452,501,2015,Spring,12,11,12,4,0,39,DONZIS D
AERO,472,500,2015,Spring,26,13,1,0,0,40,WHITE E
AERO,489,500,2015,Spring,28,8,1,0,0,37,CHAMITOFF G
AERO,489,501,2015,Spring,1,12,3,0,0,16,NARAGHI M
AERO,489,502,2015,Spring,1,8,3,1,0,13,NARAGHI M
AERO,489,503,2015,Spring,6,10,0,0,0,16,NARAGHI M
AERO,489,504,2015,Spring,5,8,4,0,0,17,NARAGHI M
AERO,489,505,2015,Spring,3,11,3,0,0,17,NARAGHI M
AERO,602,600,2015,Spring,9,5,2,0,0,16,REDINIOTIS O
AERO,623,600,2015,Spring,12,8,1,0,0,21,VADALI S
AERO,642,600,2015,Spring,14,0,0,0,0,14,KARPETIS A
AERO,672,600,2015,Spring,9,2,4,0,0,15,REED H
AERO,674,600,2015,Spring,17,1,0,0,0,18,BOWERSOX R
AERO,689,601,2015,Spring,7,3,0,0,0,10,ALFRIEND K
AERO,689,602,2015,Spring,20,0,0,0,0,20,CHAMITOFF G
AERO,689,603,2015,Spring,1,5,0,0,0,6,BENZERGA A
MEMA,613,600,2015,Spring,5,0,0,0,0,5,TALREJA R
MEMA,646,600,2015,Spring,48,0,0,0,0,48,STROUBOULIS T
BMEN,211,500,2015,Spring,18,29,11,3,1,62,YAKOVLEV V
BMEN,211,550,2015,Spring,6,1,2,0,0,9,CARBAJAL E
BMEN,253,500,2015,Spring,44,15,0,0,0,59,HANKS J
BMEN,253,550,2015,Spring,7,0,0,0,0,7,CARBAJAL E
BMEN,322,500,2015,Spring,14,8,5,2,0,29,JO J
BMEN,344,500,2015,Spring,43,24,6,0,0,73,GIBBS H
BMEN,345,501,2015,Spring,14,5,0,0,0,19,GRUNLAN M
BMEN,345,502,2015,Spring,8,4,4,0,0,16,GRUNLAN M
BMEN,345,503,2015,Spring,18,2,0,0,0,20,GRUNLAN M
BMEN,345,504,2015,Spring,19,1,0,0,0,20,GRUNLAN M
BMEN,353,500,2015,Spring,61,7,0,0,0,68,HANKS J
BMEN,361,501,2015,Spring,11,14,9,3,1,38,MADIGAN M
BMEN,361,502,2015,Spring,8,8,2,1,0,19,HWANG W
BMEN,400,550,2015,Spring,10,0,0,0,0,10,WASSER J
BMEN,404,500,2015,Spring,13,1,0,0,0,14,BREWER M
