Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,101,200,2012,Fall,37,3,0,0,0,40,SHRYOCK K
AERO,101,500,2012,Fall,27,4,3,0,2,36,SHRYOCK K
AERO,201,200,2012,Fall,14,4,1,0,1,20,CHAKRAVORTY S
AERO,201,500,2012,Fall,11,17,26,2,1,57,CHAKRAVORTY S
AERO,209,500,2012,Fall,14,27,32,4,1,78,SHRYOCK K
AERO,210,500,2012,Fall,4,22,12,6,0,44,HURTADO J
AERO,212,500,2012,Fall,7,18,7,0,0,32,BAYEH A
AERO,213,501,2012,Fall,7,9,21,0,3,40,BOYD J
AERO,213,502,2012,Fall,12,15,5,2,3,37,BOYD J
AERO,214,500,2012,Fall,12,9,13,2,1,37,KINRA V
AERO,220,500,2012,Fall,10,0,0,0,0,10,POULAIN X
AERO,220,501,2012,Fall,13,0,0,0,0,13,POULAIN X
AERO,301,200,2012,Fall,8,0,0,0,0,8,DONZIS D
AERO,301,500,2012,Fall,8,27,11,3,1,50,DONZIS D
AERO,302,901,2012,Fall,17,9,1,0,0,27,REDINIOTIS O
AERO,302,902,2012,Fall,6,19,3,0,0,28,REDINIOTIS O
AERO,303,500,2012,Fall,7,13,18,0,1,39,CRAIG S
AERO,304,500,2012,Fall,12,6,21,11,4,54,WHITCOMB J
AERO,305,501,2012,Fall,8,8,7,0,0,23,BHATTACHARYA R
AERO,305,502,2012,Fall,5,21,9,0,0,35,BHATTACHARYA R
AERO,306,500,2012,Fall,45,12,6,1,0,64,STROUBOULIS T
AERO,310,501,2012,Fall,8,29,12,3,5,57,CHAKRAVORTY S
AERO,320,500,2012,Fall,32,10,2,1,0,45,PALAFOX O
AERO,351,500,2012,Fall,1,7,40,5,1,54,CIZMAS P
AERO,401,501,2012,Fall,11,0,0,0,0,11,LUTZ W
AERO,401,502,2012,Fall,23,0,0,0,0,23,POLLOCK T
AERO,401,504,2012,Fall,4,1,0,0,0,5,ROGERS J
AERO,402,501,2012,Fall,11,5,0,0,0,16,STRGANAC T
AERO,402,503,2012,Fall,13,0,0,0,0,13,KANIPE D
AERO,417,500,2012,Fall,16,9,0,0,0,25,KARPETIS A
AERO,420,500,2012,Fall,18,1,1,0,0,20,STRGANAC T
AERO,421,500,2012,Fall,4,30,15,2,0,51,VADALI S
AERO,422,500,2012,Fall,8,6,2,0,0,16,BHATTACHARYA R
AERO,423,200,2012,Fall,5,2,0,0,0,7,MORTARI D
AERO,423,500,2012,Fall,18,22,9,0,2,51,MORTARI D
AERO,426,500,2012,Fall,27,8,0,0,0,35,HYLAND D
AERO,430,500,2012,Fall,23,1,0,0,0,24,STROUBOULIS T
AERO,435,500,2012,Fall,16,11,0,0,0,27,BOWERSOX R
AERO,452,500,2012,Fall,10,7,7,5,0,29,GIRIMAJI S
AERO,485,533,2012,Fall,19,0,0,0,0,19,CHAKRAVORTY S
AERO,489,500,2012,Fall,11,1,3,0,0,15,WHITE E
AERO,489,501,2012,Fall,9,0,0,0,0,9,WHITCOMB J
AERO,603,600,2012,Fall,11,8,1,0,0,20,BENZERGA A
AERO,606,600,2012,Fall,7,6,1,0,0,14,NARAGHI M
AERO,616,600,2012,Fall,6,2,0,0,0,8,TALREJA R
AERO,622,600,2012,Fall,23,4,0,0,0,27,HURTADO J
AERO,625,600,2012,Fall,18,5,0,0,0,23,VALASEK J
AERO,626,600,2012,Fall,8,2,0,0,0,10,TURNER J
AERO,673,600,2012,Fall,9,3,0,0,0,12,REED H
AERO,676,600,2012,Fall,6,0,0,0,0,6,BOWERSOX R
MEMA,602,600,2012,Fall,4,1,1,0,0,6,BENZERGA A
MEMA,616,600,2012,Fall,4,1,0,0,0,5,TALREJA R
BMEN,101,200,2012,Fall,21,0,1,0,0,22,COTE G
BMEN,101,201,2012,Fall,12,0,0,0,0,12,COTE G
BMEN,101,501,2012,Fall,58,3,1,1,1,64,COTE G
BMEN,101,502,2012,Fall,52,1,0,1,1,55,COTE G
BMEN,231,500,2012,Fall,22,22,20,4,1,69,HWANG W
BMEN,282,501,2012,Fall,26,38,4,1,1,70,KAUNAS R
BMEN,305,501,2012,Fall,18,2,0,0,0,20,MAITLAND K
BMEN,305,502,2012,Fall,18,2,0,0,0,20,MAITLAND K
BMEN,305,503,2012,Fall,18,2,0,0,0,20,MAITLAND K
BMEN,305,504,2012,Fall,16,1,0,0,1,18,MAITLAND K
BMEN,321,500,2012,Fall,17,49,10,2,0,78,MAITLAND D
BMEN,341,500,2012,Fall,34,37,8,1,2,82,MORENO M
BMEN,343,500,2012,Fall,42,37,7,0,0,86,GRUNLAN M
BMEN,401,500,2012,Fall,7,3,0,0,0,10,YAKOVLEV V
BMEN,420,500,2012,Fall,24,30,14,1,0,69,MCDOUGALL M
BMEN,453,500,2012,Fall,65,10,0,0,0,75,MCSHANE M
BMEN,469,500,2012,Fall,16,4,0,0,0,20,MOORE J
BMEN,480,500,2012,Fall,16,16,2,0,0,34,YEH A
BMEN,489,500,2012,Fall,28,9,3,1,1,42,JO J
BMEN,489,503,2012,Fall,5,0,0,0,0,5,PISHKO M
BMEN,650,600,2012,Fall,9,2,2,0,1,14,APPLEGATE B
BMEN,669,600,2012,Fall,8,1,1,0,0,10,MOORE J
BMEN,685,629,2012,Fall,6,0,0,0,0,6,MAITLAND D
BMEN,689,600,2012,Fall,6,4,0,0,0,10,HWANG W
BMEN,689,602,2012,Fall,7,1,0,0,0,8,GRUNLAN M
BMEN,689,603,2012,Fall,14,3,0,0,0,17,PISHKO M
BIOT,601,600,2012,Fall,20,1,0,0,0,21,KING M
BIOT,645,600,2012,Fall,14,0,0,0,0,14,YOUNG C
BIOT,645,601,2012,Fall,7,0,0,0,0,7,YOUNG C
CHEN,204,501,2012,Fall,7,36,31,13,3,90,HOLSTE J
CHEN,204,502,2012,Fall,13,18,13,11,1,56,JAYARAMAN A
CHEN,301,200,2012,Fall,6,1,0,0,0,7,TEBEAUX E
CHEN,301,502,2012,Fall,8,10,7,0,0,25,RAISOR C
CHEN,301,504,2012,Fall,4,7,1,0,0,12,RAISOR C
CHEN,304,200,2012,Fall,8,0,0,0,0,8,BALDWIN J
CHEN,304,500,2012,Fall,16,25,11,4,0,56,VADDIRAJU S
CHEN,304,501,2012,Fall,23,42,3,0,0,68,BALDWIN J
CHEN,313,500,2012,Fall,22,22,17,3,1,65,JEONG H
CHEN,320,500,2012,Fall,35,56,15,4,0,110,CAGIN T
CHEN,323,500,2012,Fall,12,8,6,1,0,27,AKBULUT M
CHEN,414,901,2012,Fall,8,8,1,0,0,17,ISDALE C
CHEN,414,903,2012,Fall,8,9,0,0,0,17,WHITE J
CHEN,414,905,2012,Fall,11,7,0,0,0,18,WHITE J
CHEN,424,500,2012,Fall,26,54,13,2,2,97,KAO K
CHEN,426,500,2012,Fall,16,23,5,1,0,45,BALDWIN J
CHEN,430,500,2012,Fall,6,16,3,0,0,25,ROGERS W
CHEN,433,501,2012,Fall,10,7,0,0,0,17,WHITE J
CHEN,433,502,2012,Fall,7,0,0,0,0,7,ISDALE C
CHEN,433,503,2012,Fall,14,0,0,0,0,14,ISDALE C
CHEN,433,504,2012,Fall,15,1,0,0,0,16,ISDALE C
CHEN,451,500,2012,Fall,6,14,9,0,1,30,LUTKENHAUS J
CHEN,455,500,2012,Fall,36,40,5,0,3,84,MANNAN M
CHEN,461,500,2012,Fall,27,57,20,1,5,110,SEMINARIO J
CHEN,464,500,2012,Fall,15,27,13,1,2,58,WILHITE B
CHEN,481,501,2012,Fall,18,0,0,0,0,18,AKBULUT M
CHEN,481,502,2012,Fall,18,1,0,0,0,19,LAIRD C
