Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,213,250,2013,Summer,5,0,0,0,0,5,TALREJA R
AERO,214,250,2013,Summer,7,1,0,0,0,8,TALREJA R
AERO,404,250,2013,Summer,6,0,0,0,0,6,TALREJA R
AERO,485,250,2013,Summer,11,0,0,0,0,11,TALREJA R
AERO,685,336,2013,Summer,5,0,0,0,0,5,REED H
BMEN,485,350,2013,Summer,7,0,0,0,0,7,MAITLAND K
CHEN,323,100,2013,Summer,5,5,13,0,0,23,HOLTZAPPLE M
CHEN,414,900,2013,Summer,5,4,0,0,0,9,WHITE J
CHEN,455,150,2013,Summer,12,1,0,0,0,13,MENTZER R
CHEN,464,200,2013,Summer,19,14,10,0,0,43,JEONG H
CHEN,489,150,2013,Summer,13,0,0,0,0,13,JAYARAMAN A
CVEN,305,301,2013,Summer,10,19,14,0,2,45,LOWERY L
CVEN,305,302,2013,Summer,18,22,8,0,0,48,BEASON W
CVEN,339,150,2013,Summer,14,8,4,0,0,26,OLIVERA F
CVEN,339,200,2013,Summer,6,9,4,0,0,19,BRUMBELOW J
CVEN,345,300,2013,Summer,3,8,12,4,2,29,JAMES R
CVEN,365,150,2013,Summer,7,3,0,0,0,10,BISCONTIN G
CVEN,400,300,2013,Summer,5,9,1,1,0,16,ZOLLINGER D
CVEN,403,100,2013,Summer,16,0,0,0,0,16,GHARAIBEH N
CVEN,423,150,2013,Summer,16,7,2,1,0,26,OLIVERA F
CVEN,435,150,2013,Summer,4,2,0,0,0,6,BISCONTIN G
CVEN,444,150,2013,Summer,5,3,5,0,0,13,BRACCI J
CVEN,483,150,2013,Summer,13,0,0,0,0,13,BRACCI J
CVEN,685,215,2013,Summer,6,0,0,0,0,6,BRUMBELOW J
ENGR,111,100,2013,Summer,13,2,1,0,0,16,OTEY J
ENGR,112,200,2013,Summer,22,21,2,1,0,46,HUTCHINSON R
ENGR,385,304,2013,Summer,4,0,1,0,0,5,UGAZ V
ENGR,385,306,2013,Summer,5,0,0,0,0,5,SARIN V
ENGR,385,307,2013,Summer,8,0,0,0,0,8,KARSILAYAN A
ENGR,385,312,2013,Summer,5,0,0,0,0,5,FELDMAN R
ENGR,410,150,2013,Summer,19,0,0,0,0,19,LAWRENCE F
ENGR,491,300,2013,Summer,48,0,0,0,0,48,MILLER S
CSCE,121,300,2013,Summer,10,5,7,3,0,25,HURLEY J
CSCE,206,301,2013,Summer,2,4,1,0,1,8,HURLEY J
CSCE,206,302,2013,Summer,5,10,2,0,0,17,HURLEY J
CSCE,221,100,2013,Summer,7,7,5,4,1,24,SCHAEFER S
CSCE,222,100,2013,Summer,12,8,4,0,0,24,LEYK T
CSCE,313,100,2013,Summer,9,10,3,4,2,28,BETTATI R
CSCE,315,100,2013,Summer,17,8,0,0,2,27,DAUGHERITY W
CSCE,411,100,2013,Summer,7,5,3,1,2,18,FRIESEN D
CSCE,420,100,2013,Summer,6,3,3,1,2,15,DAUGHERITY W
CSCE,489,150,2013,Summer,11,2,0,0,0,13,MAHAPATRA R
CSCE,491,350,2013,Summer,14,0,0,0,0,14,WALKER D
ECEN,214,301,2013,Summer,7,5,1,0,0,13,RAHIMIAN M
ECEN,214,303,2013,Summer,6,3,3,0,0,12,RAHIMIAN M
ECEN,215,250,2013,Summer,6,4,0,0,0,10,BRAGA N
ECEN,215,301,2013,Summer,8,14,2,0,0,24,TYLER J
ECEN,215,302,2013,Summer,4,13,7,1,0,25,TYLER J
ECEN,215,303,2013,Summer,9,9,6,1,0,25,TYLER J
ECEN,248,301,2013,Summer,5,7,1,1,0,14,RAHIMIAN M
ECEN,248,302,2013,Summer,4,5,2,1,0,12,RAHIMIAN M
ECEN,314,250,2013,Summer,6,5,1,1,0,13,BHATTACHARYYA S
ECEN,314,300,2013,Summer,15,5,2,0,0,22,LIU T
ECEN,325,300,2013,Summer,6,5,3,0,0,14,HOYOS S
ECEN,325,301,2013,Summer,4,2,1,0,0,7,HOYOS S
ECEN,350,301,2013,Summer,1,6,5,1,2,15,CHOI S
ECEN,350,302,2013,Summer,1,10,4,0,0,15,CHOI S
ECEN,350,303,2013,Summer,0,6,8,1,0,15,CHOI S
ECEN,404,300,2013,Summer,11,6,0,0,1,18,VILLAREAL S
ECEN,420,250,2013,Summer,6,4,1,0,0,11,BHATTACHARYYA S
ECEN,485,350,2013,Summer,12,0,0,0,0,12,KARSILAYAN A
ENDG,105,200,2013,Summer,19,7,2,0,0,28,SCHREUDERS P
ENDG,407,200,2013,Summer,34,1,0,0,0,35,RABORN T
ENTC,181,101,2013,Summer,6,4,4,1,0,15,HUNG N
ENTC,181,102,2013,Summer,2,5,6,0,1,14,HUNG N
ENTC,181,103,2013,Summer,0,2,3,1,1,7,HUNG N
ENTC,206,101,2013,Summer,2,4,4,0,0,10,FANG G
ENTC,206,102,2013,Summer,2,5,2,0,0,9,FANG G
IDIS,300,101,2013,Summer,4,10,3,0,0,17,LORENZO R
