Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,201,200,2014,Fall,10,9,0,0,0,19,SHRYOCK K
AERO,201,500,2014,Fall,6,31,30,3,0,70,SHRYOCK K
AERO,210,500,2014,Fall,0,4,6,1,0,11,POLLOCK T
AERO,212,500,2014,Fall,16,34,34,6,2,92,BOYD J
AERO,212,501,2014,Fall,1,13,7,4,1,26,ELLIS D
AERO,214,500,2014,Fall,7,13,21,5,2,48,BOYD J
AERO,289,501,2014,Fall,10,12,2,2,0,26,MORTARI D
AERO,289,502,2014,Fall,9,5,2,1,0,17,MORTARI D
AERO,289,503,2014,Fall,3,9,18,6,2,38,POLLOCK T
AERO,289,504,2014,Fall,5,4,1,0,0,10,HOFFERTH J
AERO,301,200,2014,Fall,2,7,1,0,0,10,DONZIS D
AERO,301,500,2014,Fall,9,31,10,3,0,53,DONZIS D
AERO,302,901,2014,Fall,10,12,0,0,1,23,REDINIOTIS O
AERO,302,902,2014,Fall,7,14,2,1,0,24,REDINIOTIS O
AERO,302,903,2014,Fall,13,7,4,0,0,24,REDINIOTIS O
AERO,302,904,2014,Fall,11,11,0,0,0,22,REDINIOTIS O
AERO,303,500,2014,Fall,9,16,10,2,1,38,REED H
AERO,304,500,2014,Fall,4,14,13,4,0,35,WHITCOMB J
AERO,306,500,2014,Fall,1,12,12,4,0,29,WHITCOMB J
AERO,310,501,2014,Fall,16,19,6,0,0,41,BHATTACHARYA R
AERO,321,500,2014,Fall,6,25,23,0,0,54,VADALI S
AERO,351,500,2014,Fall,10,21,5,0,0,36,KARPETIS A
AERO,401,501,2014,Fall,31,3,0,0,0,34,LUTZ W
AERO,401,502,2014,Fall,15,0,0,0,0,15,POLLOCK T
AERO,402,501,2014,Fall,31,0,0,0,0,31,STRGANAC T
AERO,402,503,2014,Fall,13,5,0,0,0,18,KANIPE D
AERO,420,500,2014,Fall,9,12,2,0,0,23,STRGANAC T
AERO,422,500,2014,Fall,33,18,1,0,0,52,BHATTACHARYA R
AERO,423,500,2014,Fall,68,8,0,0,0,76,CHAMITOFF G
AERO,426,500,2014,Fall,35,5,0,0,0,40,HYLAND D
AERO,430,500,2014,Fall,68,10,0,0,0,78,STROUBOULIS T
AERO,435,500,2014,Fall,11,20,10,0,0,41,BOWERSOX R
AERO,489,500,2014,Fall,17,4,1,1,0,23,KINRA V
AERO,603,600,2014,Fall,7,15,4,0,0,26,BENZERGA A
AERO,606,600,2014,Fall,3,4,0,0,0,7,NARAGHI M
AERO,622,600,2014,Fall,11,12,1,0,0,24,HURTADO J
AERO,625,600,2014,Fall,12,10,0,0,0,22,VALASEK J
AERO,629,600,2014,Fall,11,5,0,0,0,16,REDINIOTIS O
AERO,640,600,2014,Fall,16,6,1,0,0,23,GIRIMAJI S
AERO,649,600,2014,Fall,9,0,0,0,0,9,STROUBOULIS T
AERO,650,600,2014,Fall,7,3,0,0,0,10,MORTARI D
AERO,676,600,2014,Fall,6,2,0,0,0,8,BOWERSOX R
MEMA,616,600,2014,Fall,5,0,0,0,0,5,TALREJA R
MEMA,649,600,2014,Fall,10,0,0,0,0,10,STROUBOULIS T
BMEN,101,500,2014,Fall,23,0,0,0,0,23,COTE G
BMEN,207,500,2014,Fall,22,12,2,0,0,36,GIBBS H
BMEN,207,501,2014,Fall,20,15,3,0,0,38,GIBBS H
BMEN,305,501,2014,Fall,13,4,0,0,0,17,MAITLAND K
BMEN,305,502,2014,Fall,10,9,0,0,0,19,MAITLAND K
BMEN,305,503,2014,Fall,12,3,0,0,0,15,MAITLAND K
BMEN,305,504,2014,Fall,15,3,0,0,0,18,MAITLAND K
BMEN,321,500,2014,Fall,17,40,12,0,0,69,JO J
BMEN,341,500,2014,Fall,31,29,12,1,1,74,BREWER M
BMEN,343,501,2014,Fall,44,31,2,1,0,78,GAHARWAR A
BMEN,350,500,2014,Fall,17,14,7,0,0,38,YEH A
BMEN,350,501,2014,Fall,15,16,2,0,0,33,JO J
BMEN,401,501,2014,Fall,15,7,1,0,1,24,YAKOVLEV V
BMEN,427,503,2014,Fall,2,3,0,0,0,5,MCDOUGALL M
BMEN,430,500,2014,Fall,18,3,0,0,0,21,BREWER M
BMEN,451,500,2014,Fall,10,10,3,0,0,23,KAUNAS R
