Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,101,200,2014,Spring,14,0,0,0,0,14,CHAMITOFF G
AERO,101,500,2014,Spring,14,4,1,0,0,19,CHAMITOFF G
AERO,201,500,2014,Spring,10,15,7,1,1,34,STRGANAC T
AERO,209,500,2014,Spring,8,12,17,2,1,40,KINRA V
AERO,210,500,2014,Spring,6,24,24,4,1,59,POLLOCK T
AERO,212,500,2014,Spring,11,31,19,3,1,65,REDINIOTIS O
AERO,213,501,2014,Spring,2,10,9,0,0,21,BOYD J
AERO,213,502,2014,Spring,5,6,6,2,0,19,BOYD J
AERO,214,500,2014,Spring,20,22,9,4,2,57,LAGOUDAS D
AERO,220,500,2014,Spring,5,18,6,2,0,31,HOFFERTH J
AERO,220,501,2014,Spring,9,11,2,1,1,24,HOFFERTH J
AERO,301,500,2014,Spring,5,19,7,0,0,31,DONZIS D
AERO,303,500,2014,Spring,19,27,13,5,1,65,REED H
AERO,304,500,2014,Spring,12,26,10,2,0,50,KINRA V
AERO,305,501,2014,Spring,6,14,0,0,0,20,NARAGHI M
AERO,305,502,2014,Spring,2,12,5,0,0,19,NARAGHI M
AERO,305,503,2014,Spring,5,3,1,1,0,10,NARAGHI M
AERO,306,500,2014,Spring,21,27,6,1,1,56,BENZERGA A
AERO,310,500,2014,Spring,8,21,12,5,1,47,CHAKRAVORTY S
AERO,320,501,2014,Spring,7,5,2,0,0,14,MORTARI D
AERO,320,502,2014,Spring,17,17,3,0,0,37,MORTARI D
AERO,351,500,2014,Spring,16,27,12,0,0,55,CIZMAS P
AERO,401,501,2014,Spring,29,2,0,0,0,31,LUTZ W
AERO,401,503,2014,Spring,12,6,0,0,0,18,KANIPE D
AERO,402,501,2014,Spring,28,0,0,0,0,28,STRGANAC T
AERO,402,502,2014,Spring,19,0,0,0,0,19,POLLOCK T
AERO,405,500,2014,Spring,14,7,4,0,0,25,HARTL D
AERO,419,500,2014,Spring,14,14,0,0,0,28,KARPETIS A
AERO,421,200,2014,Spring,5,1,0,0,0,6,CHAMITOFF G
AERO,421,500,2014,Spring,20,13,7,2,0,42,CHAMITOFF G
AERO,428,500,2014,Spring,25,5,0,0,0,30,HYLAND D
AERO,440,500,2014,Spring,29,0,0,0,0,29,VALASEK J
AERO,452,500,2014,Spring,21,35,39,4,1,100,GIRIMAJI S
AERO,472,500,2014,Spring,26,18,0,0,0,44,WHITE E
AERO,485,501,2014,Spring,8,2,0,0,0,10,TALREJA R
AERO,602,600,2014,Spring,12,17,0,0,0,29,REDINIOTIS O
AERO,624,600,2014,Spring,6,4,0,0,0,10,VADALI S
AERO,630,600,2014,Spring,16,0,0,0,0,16,CHAKRAVORTY S
AERO,641,600,2014,Spring,8,2,0,0,0,10,KARPETIS A
MEMA,613,600,2014,Spring,2,5,0,0,0,7,WHITCOMB J
MEMA,641,600,2014,Spring,7,2,0,0,0,9,BOYD J
MEMA,646,600,2014,Spring,35,5,0,1,0,41,STROUBOULIS T
BMEN,289,501,2014,Spring,19,23,12,3,1,58,YAKOVLEV V
BMEN,289,502,2014,Spring,59,9,0,0,0,68,MCSHANE M
BMEN,289,550,2014,Spring,6,3,3,0,0,12,RITTER S
BMEN,289,551,2014,Spring,12,0,0,0,0,12,RITTER S
BMEN,350,500,2014,Spring,35,34,8,1,1,79,JO J
BMEN,420,501,2014,Spring,18,34,14,1,0,67,MCDOUGALL M
BMEN,424,500,2014,Spring,6,6,0,0,0,12,MEISSNER K
BMEN,430,500,2014,Spring,13,1,0,0,0,14,RITTER D
BMEN,440,500,2014,Spring,22,1,0,0,0,23,MORENO M
BMEN,450,900,2014,Spring,31,7,0,0,0,38,COTE G
BMEN,450,902,2014,Spring,31,5,1,0,0,37,COTE G
BMEN,457,500,2014,Spring,15,0,0,0,0,15,MORENO M
BMEN,463,500,2014,Spring,5,8,2,0,0,15,HWANG W
