Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,101,200,2013,Spring,9,0,0,0,0,9,TURNER J
AERO,101,500,2013,Spring,19,4,2,0,0,25,TURNER J
AERO,201,500,2013,Spring,14,22,5,0,2,43,RICHARD J
AERO,209,500,2013,Spring,6,25,12,2,1,46,POULAIN X
AERO,210,500,2013,Spring,14,29,25,5,1,74,VADALI S
AERO,212,500,2013,Spring,20,33,16,0,0,69,KARPETIS A
AERO,213,501,2013,Spring,8,5,5,4,0,22,BOYD J
AERO,213,502,2013,Spring,3,12,6,1,0,22,BOYD J
AERO,214,500,2013,Spring,14,17,22,8,3,64,BOYD J
AERO,220,500,2013,Spring,6,16,12,5,4,43,PALAFOX O
AERO,301,500,2013,Spring,7,29,3,1,0,40,DONZIS D
AERO,302,901,2013,Spring,13,10,2,0,0,25,REDINIOTIS O
AERO,302,902,2013,Spring,9,10,5,0,0,24,REDINIOTIS O
AERO,303,500,2013,Spring,16,19,10,3,2,50,REED H
AERO,304,500,2013,Spring,14,26,14,0,1,55,KINRA V
AERO,305,501,2013,Spring,21,8,1,0,0,30,NARAGHI M
AERO,305,502,2013,Spring,13,18,1,0,0,32,NARAGHI M
AERO,306,500,2013,Spring,10,12,12,7,1,42,WHITCOMB J
AERO,310,500,2013,Spring,11,15,17,2,0,45,CHAKRAVORTY S
AERO,320,501,2013,Spring,8,17,6,0,0,31,DONZIS D
AERO,320,502,2013,Spring,10,15,5,0,0,30,MORTARI D
AERO,351,500,2013,Spring,9,20,27,7,3,66,CIZMAS P
AERO,401,501,2013,Spring,24,0,0,0,0,24,LUTZ W
AERO,401,503,2013,Spring,27,8,1,0,0,36,KANIPE D
AERO,402,501,2013,Spring,11,0,0,0,0,11,STRGANAC T
AERO,402,502,2013,Spring,22,1,0,0,0,23,POLLOCK T
AERO,402,504,2013,Spring,5,0,0,0,0,5,ROGERS J
AERO,404,500,2013,Spring,10,0,0,0,0,10,TALREJA R
AERO,405,500,2013,Spring,20,5,1,0,0,26,HARTL D
AERO,419,500,2013,Spring,12,8,0,0,0,20,BAYEH A
AERO,421,200,2013,Spring,8,0,0,0,0,8,VALASEK J
AERO,421,500,2013,Spring,15,13,15,0,1,44,VALASEK J
AERO,423,500,2013,Spring,18,19,6,0,0,43,MORTARI D
AERO,428,500,2013,Spring,29,5,0,0,0,34,HYLAND D
AERO,452,500,2013,Spring,19,30,34,0,0,83,GIRIMAJI S
AERO,472,500,2013,Spring,18,2,4,0,0,24,WHITE E
AERO,485,533,2013,Spring,15,0,0,0,0,15,CHAKRAVORTY S
AERO,602,600,2013,Spring,23,8,0,0,0,31,REDINIOTIS O
AERO,608,600,2013,Spring,5,0,0,0,0,5,BENZERGA A
AERO,617,600,2013,Spring,8,2,0,0,0,10,LAGOUDAS D
AERO,623,600,2013,Spring,2,6,0,0,0,8,VADALI S
AERO,628,600,2013,Spring,13,0,0,0,0,13,HURTADO J
AERO,631,600,2013,Spring,9,0,0,0,0,9,BHATTACHARYA R
AERO,642,600,2013,Spring,7,0,0,0,0,7,KARPETIS A
AERO,689,601,2013,Spring,6,0,0,0,0,6,GIRIMAJI S
MEMA,611,600,2013,Spring,8,1,0,0,0,9,KINRA V
MEMA,646,600,2013,Spring,49,1,0,0,0,50,STROUBOULIS T
BMEN,240,500,2013,Spring,49,16,1,0,0,66,CRISCIONE J
BMEN,289,500,2013,Spring,46,2,2,0,0,50,YAKOVLEV V
BMEN,289,501,2013,Spring,13,21,12,1,5,52,YAKOVLEV V
BMEN,289,550,2013,Spring,8,0,0,0,0,8,MEISSNER K
BMEN,289,551,2013,Spring,5,5,3,0,0,13,MEISSNER K
BMEN,306,501,2013,Spring,8,11,1,0,0,20,APPLEGATE B
BMEN,306,502,2013,Spring,6,14,0,0,0,20,APPLEGATE B
BMEN,306,503,2013,Spring,6,14,1,0,0,21,APPLEGATE B
BMEN,306,504,2013,Spring,5,11,4,0,0,20,APPLEGATE B
BMEN,322,500,2013,Spring,24,46,6,2,0,78,JO J
BMEN,431,500,2013,Spring,6,3,0,0,0,9,HWANG W
BMEN,440,500,2013,Spring,36,5,0,0,0,41,CRISCIONE J
BMEN,450,900,2013,Spring,20,10,1,1,0,32,COTE G
BMEN,450,902,2013,Spring,22,13,0,0,0,35,COTE G
BMEN,451,500,2013,Spring,5,3,1,0,0,9,KAUNAS R
BMEN,452,500,2013,Spring,5,3,1,0,0,9,KAUNAS R
BMEN,454,501,2013,Spring,61,8,1,0,0,70,MCSHANE M
BMEN,482,500,2013,Spring,14,14,1,1,0,30,GRUNLAN M
BMEN,483,500,2013,Spring,8,5,0,0,0,13,PISHKO M
BMEN,486,500,2013,Spring,18,7,0,0,0,25,MCSHANE M
BMEN,489,500,2013,Spring,35,3,0,0,0,38,CRISCIONE J
BMEN,489,501,2013,Spring,7,6,0,0,0,13,MCDOUGALL M
BMEN,489,502,2013,Spring,11,10,3,0,0,24,MORENO M
BMEN,625,600,2013,Spring,4,0,3,0,1,8,MAITLAND K
BMEN,640,600,2013,Spring,11,1,1,0,0,13,CRISCIONE J
BMEN,674,600,2013,Spring,27,0,0,0,0,27,YEH A
BMEN,682,600,2013,Spring,4,5,1,0,0,10,GRUNLAN M
BMEN,689,600,2013,Spring,10,1,0,0,0,11,CRISCIONE J
BMEN,689,601,2013,Spring,7,1,0,0,0,8,MCDOUGALL M
BIOT,635,600,2013,Spring,15,6,0,0,0,21,KING M
CHEN,205,501,2013,Spring,8,41,28,2,1,80,LUTKENHAUS J
CHEN,205,502,2013,Spring,5,11,20,3,1,40,CHEN Z
CHEN,282,500,2013,Spring,15,33,9,2,0,59,KAO K
CHEN,282,501,2013,Spring,16,21,22,0,0,59,JAYARAMAN A
CHEN,301,501,2013,Spring,9,13,2,0,0,24,RAISOR C
CHEN,301,503,2013,Spring,10,13,11,0,0,34,TEBEAUX E
CHEN,301,504,2013,Spring,5,5,1,0,0,11,RAISOR C
CHEN,304,500,2013,Spring,8,6,1,1,1,17,UGAZ V
CHEN,313,501,2013,Spring,32,33,8,0,0,73,SEMINARIO J
CHEN,320,501,2013,Spring,4,12,5,1,1,23,CAGIN T
CHEN,323,501,2013,Spring,21,30,12,3,1,67,AKBULUT M
CHEN,323,502,2013,Spring,17,20,18,4,1,60,VADDIRAJU S
CHEN,354,500,2013,Spring,15,18,25,1,1,60,BALBUENA P
CHEN,414,901,2013,Spring,14,2,0,0,0,16,ISDALE C
CHEN,414,902,2013,Spring,4,5,1,0,0,10,ISDALE C
CHEN,414,903,2013,Spring,6,0,0,0,0,6,ISDALE C
CHEN,414,904,2013,Spring,9,1,0,0,0,10,ISDALE C
CHEN,424,500,2013,Spring,11,21,9,0,0,41,GLOVER C
CHEN,426,501,2013,Spring,21,58,22,0,0,101,BALDWIN J
CHEN,433,501,2013,Spring,13,7,0,0,0,20,WHITE J
CHEN,433,502,2013,Spring,12,6,0,0,0,18,WHITE J
CHEN,433,503,2013,Spring,18,2,0,0,0,20,WHITE J
CHEN,433,504,2013,Spring,14,6,0,0,0,20,WHITE J
CHEN,433,505,2013,Spring,12,0,0,0,0,12,WHITE J
CHEN,455,500,2013,Spring,18,21,9,2,0,50,MENTZER R
CHEN,459,500,2013,Spring,20,37,7,0,0,64,BALDWIN J
CHEN,460,500,2013,Spring,3,5,1,0,0,9,ROGERS W
